"source","target","relation","logFC","p.adjust"
"486","hsa04261","part_of_kegg",2.15861193529412,2.79824063938462e-07
"5330","hsa04261","part_of_kegg",1.60403318823529,2.79824063938462e-07
"1388","hsa04261","part_of_kegg",1.93877816470588,2.79824063938462e-07
"113","hsa04261","part_of_kegg",1.68990038235294,2.79824063938462e-07
"783","hsa04261","part_of_kegg",1.62459427647059,2.79824063938462e-07
"27091","hsa04261","part_of_kegg",1.54010771176471,2.79824063938462e-07
"480","hsa04261","part_of_kegg",1.64462291764706,2.79824063938462e-07
"782","hsa04261","part_of_kegg",1.89712265882353,2.79824063938462e-07
"5332","hsa04261","part_of_kegg",1.61928038823529,2.79824063938462e-07
"2776","hsa04261","part_of_kegg",2.32381702941176,2.79824063938462e-07
"108","hsa04261","part_of_kegg",2.06934099411765,2.79824063938462e-07
"781","hsa04261","part_of_kegg",1.47701732941176,2.79824063938462e-07
"115","hsa04261","part_of_kegg",1.65663801764706,2.79824063938462e-07
"785","hsa04261","part_of_kegg",2.20833822352941,2.79824063938462e-07
"5526","hsa04261","part_of_kegg",2.12296983529412,2.79824063938462e-07
"11149","hsa04261","part_of_kegg",1.44174998823529,2.79824063938462e-07
"2773","hsa04261","part_of_kegg",4.30320185294118,2.79824063938462e-07
"779","hsa04261","part_of_kegg",1.26858109411765,2.79824063938462e-07
"64208","hsa04261","part_of_kegg",1.1261022,2.79824063938462e-07
"6548","hsa04261","part_of_kegg",1.32771733529412,2.79824063938462e-07
"59285","hsa04261","part_of_kegg",2.00446336470588,2.79824063938462e-07
"5331","hsa04261","part_of_kegg",1.24611033529412,2.79824063938462e-07
"5600","hsa04261","part_of_kegg",1.72369631764706,2.79824063938462e-07
"491","hsa04261","part_of_kegg",1.50119266470588,2.79824063938462e-07
"489","hsa04261","part_of_kegg",1.90771274117647,2.79824063938462e-07
"1432","hsa04261","part_of_kegg",1.46771139411765,2.79824063938462e-07
"818","hsa04261","part_of_kegg",1.8045169,2.79824063938462e-07
"5499","hsa04261","part_of_kegg",1.75267715294118,2.79824063938462e-07
"7171","hsa04261","part_of_kegg",1.1525365,2.79824063938462e-07
"107","hsa04261","part_of_kegg",1.44187635294118,2.79824063938462e-07
"477","hsa04261","part_of_kegg",1.43436598235294,2.79824063938462e-07
"6332","hsa04261","part_of_kegg",2.30594059411765,2.79824063938462e-07
"4624","hsa04261","part_of_kegg",3.27066155882353,2.79824063938462e-07
"488","hsa04261","part_of_kegg",2.00648130588235,2.79824063938462e-07
"4633","hsa04261","part_of_kegg",4.03540198235294,2.79824063938462e-07
"5566","hsa04261","part_of_kegg",1.97179651176471,2.79824063938462e-07
"10369","hsa04261","part_of_kegg",2.00332856470588,2.79824063938462e-07
