"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DIO2-AS1",1.44198472352941,3.79259831818182,17.071573833499,9.15939448194317e-21,3.00591399512264e-20,36.8517802363936
"DGCR8",1.65748771764706,4.99643095454545,17.0672362084393,9.24728474980136e-21,3.03426057506996e-20,36.842102217377
"PSMD5",0.993377111764705,4.09835288636364,17.0652017351132,9.28880373667112e-21,3.04738480925313e-20,36.837562303795
"CASC6",1.32853322352941,3.77895247727273,17.0555230243419,9.48894360764045e-21,3.11253509658185e-20,36.8159587363376
"PSMG1",1.46783401176471,4.92995965909091,17.0550953011862,9.49788902635012e-21,3.11495928251221e-20,36.8150038148045
"LAIR2",1.81801574705882,5.43670122727273,17.0518996696356,9.56499535733758e-21,3.13645419869351e-20,36.8078687751247
"RGL3",1.42346371764706,5.06823643181818,17.0505721077788,9.59301534743674e-21,3.14512738854096e-20,36.8049043679099
"OR2J2",2.0616656117647,4.17617690909091,17.0466936994045,9.67535492531767e-21,3.17160382693444e-20,36.7962429979254
"ACO1",1.90361245294118,8.62829597727273,17.0437941280182,9.73738417855475e-21,3.19141491925407e-20,36.789766624116
"MIR181A2HG",1.30553424117647,4.75357122727273,17.0416977644038,9.78248326720649e-21,3.20567159837527e-20,36.7850837480468
"CYP2C8",1.96236012941177,5.89410081818182,17.0393383378607,9.83349652422999e-21,3.22186134074869e-20,36.7798127205812
"PLEKHS1",3.05936914117647,4.27280090909091,17.0366023254453,9.89299183010403e-21,3.24082440458944e-20,36.773699700938
"DKFZP434A062",2.49330085294118,5.01886763636364,17.0344310894059,9.94046712397402e-21,3.25584430064499e-20,36.7688480240309
"TOP2B",1.55358174705882,4.20394756818182,17.0337363478023,9.95570705950042e-21,3.26030282517431e-20,36.7672955095803
"PRSS8",3.91506662941176,5.41322804545455,17.0329670686799,9.97260986386605e-21,3.26530436078726e-20,36.7655763731445
"LOC441081",1.16323167647059,4.03099911363636,17.0250616705308,1.0148014583692e-20,3.32219362870596e-20,36.7479065000981
"EIF5-DT",1.92249801176471,3.69375186363636,17.0248853439958,1.01519625860956e-20,3.32294304778867e-20,36.7475123106946
"POLR3D",1.45471795294118,4.50888315909091,17.0238744679242,1.01746266490683e-20,3.32981736700109e-20,36.7452523723655
"KRT78",2.14481422352941,3.63256815909091,17.0236623684622,1.01793885114958e-20,3.33083160180143e-20,36.744778184997
"TCF20",1.23609568823529,3.76880395454545,17.0168400282996,1.03337760209421e-20,3.38079701537664e-20,36.7295232158903
"PCA3",1.67121732352941,3.96504545454545,17.0149103226051,1.03778764722394e-20,3.39467050117408e-20,36.7252074976278
