"source","target","relation","logFC","p.adjust"
"COA6","GO:0006091","enriched_in_go",3.72297767647059,8.41408233956214e-05
"OGDHL","GO:0006091","enriched_in_go",4.27599724117647,8.41408233956214e-05
"ACO1","GO:0006091","enriched_in_go",1.90361245294118,8.41408233956214e-05
"PRXL2C","GO:0006091","enriched_in_go",1.56779336470588,8.41408233956214e-05
"OPN3","GO:0006091","enriched_in_go",1.12052509411765,8.41408233956214e-05
"GYG2","GO:0006091","enriched_in_go",3.7092616117647,8.41408233956214e-05
"TMEM135","GO:0006091","enriched_in_go",4.49804185294118,8.41408233956214e-05
"MTFR1L","GO:0006091","enriched_in_go",2.13013326470588,8.41408233956214e-05
"LYRM7","GO:0006091","enriched_in_go",1.24976485294118,8.41408233956214e-05
"GHITM","GO:0006091","enriched_in_go",1.36744185294118,8.41408233956214e-05
"MTFR2","GO:0006091","enriched_in_go",1.30836832352941,8.41408233956214e-05
"COX7B2","GO:0006091","enriched_in_go",1.9696979,8.41408233956214e-05
"GIPR","GO:0006091","enriched_in_go",1.24103994117647,8.41408233956214e-05
"PRKACA","GO:0006091","enriched_in_go",1.97179651176471,8.41408233956214e-05
"LEP","GO:0006091","enriched_in_go",5.20844464705882,8.41408233956214e-05
"KHK","GO:0006091","enriched_in_go",1.06370945882353,8.41408233956214e-05
"RPTOR","GO:0006091","enriched_in_go",1.11836854705882,8.41408233956214e-05
"MT-CO1","GO:0006091","enriched_in_go",1.45963717647059,8.41408233956214e-05
"MT-ND2","GO:0006091","enriched_in_go",1.21088182352941,8.41408233956214e-05
"SCO2","GO:0006091","enriched_in_go",1.04528732941176,8.41408233956214e-05
"ADPGK","GO:0006091","enriched_in_go",1.79708341176471,8.41408233956214e-05
"COX6A1","GO:0006091","enriched_in_go",2.31340192352941,8.41408233956214e-05
"ATG12","GO:0006091","enriched_in_go",2.87757448823529,8.41408233956214e-05
"RHOA","GO:0006091","enriched_in_go",1.56153896470588,8.41408233956214e-05
"NDUFA10","GO:0006091","enriched_in_go",1.51284444117647,8.41408233956214e-05
"PPARD","GO:0006091","enriched_in_go",3.68963007647058,8.41408233956214e-05
"SHPK","GO:0006091","enriched_in_go",2.64868066470588,8.41408233956214e-05
"DDIT4","GO:0006091","enriched_in_go",6.09077366470588,8.41408233956214e-05
"KAT2B","GO:0006091","enriched_in_go",1.6973860882353,8.41408233956214e-05
"DNAJC15","GO:0006091","enriched_in_go",2.10295701176471,8.41408233956214e-05
"IFNAR1","GO:0006091","enriched_in_go",1.37849177058824,8.41408233956214e-05
"SLC25A13","GO:0006091","enriched_in_go",1.51029195882353,8.41408233956214e-05
"PHKA1","GO:0006091","enriched_in_go",1.35338449411765,8.41408233956214e-05
"WDR93","GO:0006091","enriched_in_go",1.3407555,8.41408233956214e-05
"FDXR","GO:0006091","enriched_in_go",1.89907838823529,8.41408233956214e-05
"NDUFS2","GO:0006091","enriched_in_go",1.45326959411765,8.41408233956214e-05
"PPP1R1A","GO:0006091","enriched_in_go",1.37266045294118,8.41408233956214e-05
"MTFR1","GO:0006091","enriched_in_go",1.98050834117647,8.41408233956214e-05
"PRELID1","GO:0006091","enriched_in_go",2.52222996470588,8.41408233956214e-05
"TPI1","GO:0006091","enriched_in_go",3.026354,8.41408233956214e-05
"SELENON","GO:0006091","enriched_in_go",4.03839562941176,8.41408233956214e-05
"ANTKMT","GO:0006091","enriched_in_go",2.84166676470588,8.41408233956214e-05
"CROT","GO:0006091","enriched_in_go",1.43868666470588,8.41408233956214e-05
"ISCU","GO:0006091","enriched_in_go",1.9454884,8.41408233956214e-05
"ACTN3","GO:0006091","enriched_in_go",2.01690392941176,8.41408233956214e-05
"PPP1CB","GO:0006091","enriched_in_go",1.16989967058824,8.41408233956214e-05
"XYLB","GO:0006091","enriched_in_go",5.11487071764706,8.41408233956214e-05
"SLC25A14","GO:0006091","enriched_in_go",1.07863495294118,8.41408233956214e-05
"GNPDA1","GO:0006091","enriched_in_go",2.38125214705882,8.41408233956214e-05
"TAFAZZIN","GO:0006091","enriched_in_go",3.11190157058823,8.41408233956214e-05
"IDH1","GO:0006091","enriched_in_go",1.18392730588235,8.41408233956214e-05
"PDHB","GO:0006091","enriched_in_go",5.8716374,8.41408233956214e-05
"NDUFB9","GO:0006091","enriched_in_go",3.18386427058823,8.41408233956214e-05
"PFKM","GO:0006091","enriched_in_go",1.75121595294118,8.41408233956214e-05
"UQCR10","GO:0006091","enriched_in_go",1.46295290588235,8.41408233956214e-05
"UCN","GO:0006091","enriched_in_go",1.95139722941176,8.41408233956214e-05
"GCGR","GO:0006091","enriched_in_go",1.63653502352941,8.41408233956214e-05
"HIF1A","GO:0006091","enriched_in_go",1.48836265294118,8.41408233956214e-05
"CYB561","GO:0006091","enriched_in_go",2.0697858,8.41408233956214e-05
"STBD1","GO:0006091","enriched_in_go",1.01978855882353,8.41408233956214e-05
"IFNLR1","GO:0006091","enriched_in_go",1.7522318,8.41408233956214e-05
"ADRB3","GO:0006091","enriched_in_go",4.50274583529411,8.41408233956214e-05
"CBFA2T3","GO:0006091","enriched_in_go",2.31256757058823,8.41408233956214e-05
"SHMT2","GO:0006091","enriched_in_go",1.02116850588235,8.41408233956214e-05
"PRDM16","GO:0006091","enriched_in_go",3.43895862941176,8.41408233956214e-05
